	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	ltotal_salary_avg	ltotal_salary_avg	ltotal_salary_avg	ltotal_salary_avg	D.ltotal_salary_avg	D.ltotal_salary_avg	D.ltotal_salary_avg	ltotal_salary_avg	ltotal_salary_avg	ltotal_salary_avg	ltotal_salary_avg	D.ltotal_salary_avg	D.ltotal_salary_avg	D.ltotal_salary_avg	ltotal_salary_avg	ltotal_salary_avg	ltotal_salary_avg	ltotal_salary_avg	D.ltotal_salary_avg	D.ltotal_salary_avg	D.ltotal_salary_avg
																					
1.changer	-0.104***	-0.104***	-0.0399	-0.0399	-0.0164	-0.0164	-0.0164	-0.00755	-0.00755	0.0703	0.0703*	-0.00622	-0.00622	-0.00622							
	(0.0260)	(0.0315)	(0.0290)	(0.0272)	(0.0110)	(0.0116)	(0.0100)	(0.0434)	(0.0451)	(0.0476)	(0.0404)	(0.0154)	(0.0179)	(0.0130)							
1.change_1898								-0.132*	-0.132**	-0.141*	-0.141**	0.0123	0.0123	0.0123							
								(0.0740)	(0.0626)	(0.0771)	(0.0633)	(0.0240)	(0.0174)	(0.0227)							
1.change_after1899								-0.163***	-0.163***	-0.185***	-0.185***	-0.0478*	-0.0478	-0.0478**							
								(0.0534)	(0.0501)	(0.0559)	(0.0472)	(0.0260)	(0.0290)	(0.0236)							
jewish_share_old	0.0682*	0.0682*	0.149***	0.149***	0.00458	0.00458	0.00458	0.0681*	0.0681*	0.148***	0.148***	0.00478	0.00478	0.00478	0.0703*	0.0703*	0.150***	0.150***	0.00615	0.00615	0.00615
	(0.0371)	(0.0354)	(0.0401)	(0.0344)	(0.0169)	(0.00854)	(0.0149)	(0.0371)	(0.0355)	(0.0402)	(0.0343)	(0.0169)	(0.00856)	(0.0149)	(0.0365)	(0.0356)	(0.0393)	(0.0345)	(0.0166)	(0.00827)	(0.0142)
0b.changer#co.jewish_share_old	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)							
1.changer#c.jewish_share_old	0.155***	0.155*	0.0871	0.0871	0.0348	0.0348**	0.0348	0.0985	0.0985	0.0334	0.0334	0.00618	0.00618	0.00618							
	(0.0590)	(0.0805)	(0.0609)	(0.0743)	(0.0258)	(0.0158)	(0.0220)	(0.0913)	(0.126)	(0.0933)	(0.110)	(0.0327)	(0.0275)	(0.0259)							
0b.change_1898#co.jewish_share_old								0	0	0	0	0	0	0							
								(0)	(0)	(0)	(0)	(0)	(0)	(0)							
1.change_1898#c.jewish_share_old								0.0119	0.0119	0.00533	0.00533	0.0213	0.0213	0.0213							
								(0.141)	(0.109)	(0.141)	(0.0958)	(0.0468)	(0.0386)	(0.0423)							
0b.change_after1899#co.jewish_share_old								0	0	0	0	0	0	0							
								(0)	(0)	(0)	(0)	(0)	(0)	(0)							
1.change_after1899#c.jewish_share_old								0.102	0.102	0.0909	0.0909	0.0945**	0.0945**	0.0945**							
								(0.103)	(0.115)	(0.103)	(0.105)	(0.0471)	(0.0404)	(0.0391)							
o.gworkplace_broad30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																					
1.change_pre															-0.114***	-0.114**	-0.0467	-0.0467	-0.0267	-0.0267	-0.0267*
															(0.0357)	(0.0418)	(0.0387)	(0.0424)	(0.0176)	(0.0197)	(0.0158)
1.change_post															-0.0896**	-0.0896**	-0.0265	-0.0265	-0.00915	-0.00915	-0.00915
															(0.0382)	(0.0427)	(0.0414)	(0.0357)	(0.0136)	(0.00871)	(0.0126)
0b.change_pre#co.jewish_share_old															0	0	0	0	0	0	0
															(0)	(0)	(0)	(0)	(0)	(0)	(0)
1.change_pre#c.jewish_share_old															0.184**	0.184**	0.122	0.122	0.0425	0.0425	0.0425
															(0.0723)	(0.0796)	(0.0742)	(0.0724)	(0.0355)	(0.0258)	(0.0291)
0b.change_post#co.jewish_share_old															0	0	0	0	0	0	0
															(0)	(0)	(0)	(0)	(0)	(0)	(0)
1.change_post#c.jewish_share_old															0.107	0.107	0.0332	0.0332	0.0270	0.0270*	0.0270
															(0.0806)	(0.0897)	(0.0815)	(0.0856)	(0.0308)	(0.0158)	(0.0263)
Constant	7.034***	7.034***	7.244***	7.244***	0.839***	0.839***	0.839***	7.043***	7.043***	7.261***	7.261***	0.848***	0.848***	0.848***	7.031***	7.031***	7.239***	7.239***	0.839***	0.839***	0.839***
	(0.178)	(0.157)	(0.269)	(0.293)	(0.0865)	(0.149)	(0.0731)	(0.177)	(0.157)	(0.266)	(0.282)	(0.0863)	(0.151)	(0.0734)	(0.178)	(0.156)	(0.268)	(0.291)	(0.0865)	(0.149)	(0.0732)
																					
Observations	3,982	3,982	2,207	2,207	3,715	3,715	3,715	3,982	3,982	2,207	2,207	3,715	3,715	3,715	3,982	3,982	2,207	2,207	3,715	3,715	3,715
R-squared	0.410	0.410	0.385	0.385	0.358	0.358	0.358	0.412	0.412	0.389	0.389	0.359	0.359	0.359	0.410	0.410	0.385	0.385	0.358	0.358	0.358
model	level	level	level	level	difference	difference	difference	level	level	level	level	difference	difference	difference	level	level	level	level	difference	difference	difference
righthand	changer	changer	changer	changer	changer	changer	changer	1898	1898	1898	1898	1898	1898	1898	prepost	prepost	prepost	prepost	prepost	prepost	prepost
sampleused	last year	last year	ly and has changer	ly and has changer	whole	whole	whole	last year	last year	ly and has changer	ly and has changer	whole	whole	whole	last year	last year	ly and has changer	ly and has changer	whole	whole	whole
serror	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	rob	vce(cluster workplace_broad	vce(cluster idmaster
)																					
Robust standard errors in parentheses																					
*** p<0.01, ** p<0.05, * p<0.1																					
