sorszam,n1
1,Abelsberg
2,Abonyi
3,Ackerl
4,Acél
5,Adamek
6,Adametz
7,Adamy
8,Adámi
9,Adámy
10,Adátny
11,Agocs
12,Agotay
13,Agócs
14,Aigner
15,Akantisz
16,Albrecht
17,Alemann
18,Alexa
19,Ali
20,Alkér
21,Alm
22,Almády
23,Almásy
24,Alth
25,Altorjai
26,Ambrosits
27,Ambrus
28,Ambrózy
29,Amigo
30,Amigó
31,Anderkó
32,Andor
33,Andrejka
34,Andreska
35,Andrássy
36,Angelus
37,Angelusz
38,Angyal
39,Angyán
40,Antal
41,Anton
42,Apagyi
43,Apalitzky
44,Apatitzky
45,Apostol
46,Arany
47,Aranyossy
48,Arathau
49,Argauer
50,Armstádt
51,Arányi
52,Asztalos
53,Auer
54,Aulinger
55,Ausim
56,Axmann
57,Babocsay
58,Babucs
59,Bachát
60,Badics
61,Badál
62,Bagi
63,Bagossy
64,Bai
65,Baintner
66,Baitner
67,Bajczár
68,Bajkay
69,Bajusz
70,Bajáki
71,Bajáky
72,Bakay
73,Bakcsy
74,Bakodi
75,Bakonyi
76,Bakos
77,Baksay
78,Bakó
79,Balay
80,Balder
81,Balikó
82,Balla
83,Balló
84,Balog
85,Balogh
86,Baltzer
87,Baluka
88,Balás
89,Balázs
90,Balázsovich
91,Balázsy
92,Baló
93,Barabás
94,Baracs
95,Barakovich
96,Barakovics
97,Baranyay
98,Barbás
99,Barcza
100,Barczen
101,Bari
102,Barina
103,Barlatits
104,Barna
105,Barsi
106,Barta
107,Bartal
108,Bartalits
109,Bartalos
110,Bartek
111,Bartos
112,Bartsch
113,Bartunek
114,Bartók
115,Barát
116,Baráth
117,Barócs
118,Baróti
119,Basch
120,Baseli
121,Bata
122,Batka
123,Battlay
124,Batyala
125,Bauer
126,Baumann
127,Baumgarten
128,Bausz
129,Bayer
130,Baán
131,Becker
132,Beckmann
133,Becske
134,Bede
135,Bedő
136,Behringer
137,Behumi
138,Behyna
139,Beke
140,Bekö
141,Bekő
142,Belgrádi
143,Beliczay
144,Bellaágh
145,Bellus
146,Bencsik
147,Bencze
148,Bendes
149,Bendessy
150,Bendesy
151,Bene
152,Beneda
153,Benedek
154,Benes
155,Benesch
156,Benke
157,Benkovszky
158,Benkó
159,Benkő
160,Benyovits
161,Benyó
162,Berczel
163,Berecz
164,Bereczky
165,Bereghy
166,Berencsy
167,Beretics
168,Beretz
169,Beretzky
170,Berger
171,Bergsmann
172,Berkes
173,Bernauer
174,Bernáth
175,Berta
176,Bertalan
177,Beránek
178,Berényi
179,Betsey
180,Beösze
181,Beősze
182,Bicskey
183,Biegelbauer
184,Bihary
185,Bikich
186,Bikics
187,Bikits
188,Bilkay
189,Birkl
190,Birkus
191,Biró
192,Bischof
193,Bischoff
194,Bisitz
195,Biszterszki
196,Bitter
197,Bittera
198,Bittner
199,Blaha
200,Blahó
201,Blary
202,Blaschnek
203,Blasinger
204,Blaskó
205,Blasnek
206,Blazsek
207,Blum
208,Blázsek
209,Blázy
210,Blöch
211,Blöckinger
212,Boba
213,Bobor
214,Bocke
215,Bocz
216,Boda
217,Bodnár
218,Bodor
219,Bodrog
220,Bodrogi
221,Bodák
222,Bodó
223,Bogdándy
224,Bogisich
225,Bognár
226,Bogár
227,Bogáthy
228,Boinitzer
229,Bolcsik
230,Boldog
231,Boleman
232,Bolemann
233,Bolgár
234,Bolla
235,Bolvánszky
236,Bolváry
237,Boné
238,Borbás
239,Borbély
240,Bordás
241,Bori
242,Boronkai
243,Boronkay
244,Boros
245,Borostyán
246,Borovits
247,Borsodi
248,Borsody
249,Borsos
250,Borsosföldi
251,Borsosföldy
252,Borsós
253,Borvendég
254,Bory
255,Borzsák
256,Boschán
257,Bosnyákovits
258,Bossányi
259,Bosányi
260,Bottyáni
261,Bozzay
262,Boér
263,Bradách
264,Brandt
265,Braun
266,Braunstein
267,Breitenbach
268,Breitkopf
269,Brestyánszky
270,Brett
271,Brettschneider
272,Breuer
273,Brezovsky
274,Briestyánszky
275,Brodesser
276,Brosek
277,Brucker
278,Bruha
279,Brukker
280,Brust
281,Bruszt
282,Brányi
283,Brányik
284,Bráth
285,Bródy
286,Brück
287,Brüll
288,Buchelt
289,Buchgraber
290,Bucsi
291,Bucsánszky
292,Budai
293,Buday
294,Budó
295,Bugyi
296,Bukovszky
297,Bunyitay
298,Burg
299,Burger
300,Burián
301,Burján
302,Burkus
303,Busehor
304,Buttler
305,Buzay
306,Buzáth
307,Bába
308,Bácker
309,Bácsinszky
310,Bácskai
311,Báldy
312,Báli
313,Bálint
314,Bálványi
315,Bán
316,Bánfai
317,Bánfi
318,Bánlaky
319,Bányai
320,Bányay
321,Bánó
322,Bárczi
323,Bárczy
324,Bárdi
325,Bárdos
326,Bársony
327,Bártl
328,Bárán
329,Bárány
330,Básics
331,Bátonyi
332,Bátori
333,Bátory
334,Bécsy
335,Békehegyi
336,Békéfi
337,Békési
338,Bém
339,Bényei
340,Bérczi
341,Bérezi
342,Bérényi
343,Bézsenyi
344,Bíró
345,Bódai
346,Bódis
347,Bódy
348,Bóka
349,Bödecs
350,Böhm
351,Böke
352,Bölcsházy
353,Bölcskei
354,Böröcz
355,Bőhm
356,Bősinger
357,Cavalloni
358,Cenner
359,Chobola
360,Chobota
361,Chyzer
362,Clauser
363,Crempeltz
364,Crempola
365,Csaba
366,Csabai
367,Csajka
368,Csanády
369,Csapiár
370,Csapiáros
371,Csaplovich
372,Csapláros
373,Csapó
374,Csatay
375,Csatáry
376,Csaudáry
377,Csefkó
378,Cseh
379,Cseke
380,Cselkó
381,Csendes
382,Csenteritz
383,Csepke
384,Csepreghy
385,Cser
386,Cserey
387,Cserhalmi
388,Csernovics
389,Cservenka
390,Csete
391,Csics
392,Csicsai
393,Csicsery
394,Csicsmanczay
395,Csides
396,Csik
397,Csikász
398,Csikós
399,Csiliéri
400,Csillag
401,Csilléry
402,Csiszlár
403,Csiszár
404,Csite
405,Csizmadia
406,Csizmazia
407,Csomay
408,Csongár
409,Csonka
410,Csontos
411,Csonták
412,Csorna
413,Csornai
414,Csukás
415,Csupor
416,Csákberky
417,Csáki
418,Csányi
419,Csármann
420,Császár
421,Csébi
422,Cséfai
423,Csóka
424,Csóry
425,Csögör
426,Csöppüs
427,Czagányi
428,Czaha
429,Czakó
430,Czapp
431,Czebe
432,Czeber
433,Czeisz
434,Czellaó
435,Czenner
436,Czibor
437,Cziczli
438,Cziegler
439,Czigány
440,Czike
441,Czimmermann
442,Czitrom
443,Czotter
444,Czvitkovics
445,Czvitkovits
446,Czárán
447,Czéber
448,Czéh
449,Dallos
450,Dancs
451,Dancsa
452,Danizy
453,Dankos
454,Dankovszky
455,Dankowsky
456,Danzer
457,Darabos
458,Darnay
459,Daruba
460,Daruvári
461,Darvas
462,Darvassy
463,Darvasy
464,Daunterer
465,Debreczeny
466,Debreczenyi
467,Debski
468,Decsy
469,Deme
470,Demeter
471,Demján
472,Demjén
473,Demkó
474,Demény
475,Dene
476,Denne
477,Detrich
478,Deutsch
479,Devecis
480,Dezső
481,Deák
482,Dieballa
483,Dienes
484,Dimák
485,Dinda
486,Dingha
487,Dittrich
488,Diósi
489,Diószeghy
490,Diószegi
491,Dlauchy
492,Dobján
493,Dobos
494,Dobrai
495,Dobrossy
496,Dobrosy
497,Dobrovits
498,Dobrovolszky
499,Dobry
500,Dobrzyniecky
501,Dobrády
502,Dobó
503,Dodek
504,Doehner
505,Doktay
506,Dokuly
507,Domanyek
508,Domonkos
509,Domsa
510,Donáth
511,Dorogsághy
512,Drach
513,Dratsay
514,Drechsler
515,Drencsik
516,Drescher
517,Dressler
518,Dreszler
519,Dritomszky
520,Drágffy
521,Drégely
522,Duday
523,Dudái
524,Dudás
525,Duka
526,Dukovits
527,Dulcsán
528,Dull
529,Dulácska
530,Dura
531,Durucz
532,Dusárdy
533,Dzsálya
534,Dániel
535,Dénes
536,Déri
537,Dévai
538,Dévény
539,Dómján
540,Döchner
541,Dömsödi
542,Dömök
543,Dömötör
544,Dörflinger
545,Dürr
546,D’Ouvenou
547,Eberling
548,Eckenberg
549,Ecséry
550,Egerházy
551,Egressy
552,Egri
553,Egyed
554,Együd
555,Ehrlich
556,Eisenstock
557,Elbert
558,Eleméry
559,Elischer
560,Eller
561,Előd
562,Emerich
563,Emmer
564,Emmerich
565,Emmerling
566,Emperl
567,Emyei
568,Emőd
569,Enberger
570,Endrei
571,Endrey
572,Engel
573,Engelbach
574,Engelhardt
575,Engler
576,Englerth
577,Enyingi
578,Enyvvári
579,Eperjessy
580,Erczhegyi
581,Erdélyi
582,Erdész
583,Erdődy
584,Erdős
585,Erdősi
586,Erdőssi
587,Erdősí
588,Erhardt
589,Erményi
590,Ernyei
591,Ernőd
592,Erényi
593,Erős
594,Erőss
595,Eszláry
596,Esztergályos
597,Evva
598,Ewinger
599,Eördögh
600,Eőrsi
601,Eőry
602,Fa
603,Fadgyas
604,Fah
605,Faller
606,Faludy
607,Falvai
608,Fapp
609,Faragó
610,Farbinger
611,Farkas
612,Farnady
613,Fazekas
614,Fecske
615,Fegyveres
616,Fehér
617,Fehérvári
618,Fejes
619,Fejér
620,Fekete
621,Fekets
622,Feleki
623,Felter
624,Fent
625,Fenyves
626,Fenyő
627,Ferenc
628,Ferencz
629,Ferenczi
630,Ferenczy
631,Festetics
632,Feszeli
633,Feszely
634,Feszelyi
635,Feszi
636,Fetter
637,Fettick
638,Fiala
639,Filgóssy
640,Finta
641,Fischer
642,Fissinger
643,Flanyek
644,Fleischer
645,Fliegl
646,Fochler
647,Fock
648,Fodor
649,Fogarassy
650,Folkusházy
651,Forberger
652,Forisek
653,Forrai
654,Forster
655,Forstner
656,Fraenkel
657,Frank
658,Frankfurti
659,Franki
660,Frankl
661,Frankovits
662,Frecskay
663,Frenyó
664,Frey
665,Frick
666,Fridrich
667,Friebeisz
668,Friedmann
669,Friedrich
670,Frimel
671,Fritsch
672,Frivaldszky
673,Frágner
674,Fráter
675,Frólik
676,Fuchs
677,Funk
678,Furebl
679,Furka
680,Futó
681,Fábián
682,Fái
683,Fájli
684,Fáy
685,Fél
686,Fóris
687,Födi
688,Földes
689,Földessy
690,Földváry
691,Földy
692,Fölkel
693,Förstner
694,Füle
695,Fülepp
696,Fülöp
697,Füredi
698,Füredy
699,Füry
700,Füstér
701,Füstös
702,Füzy
703,Füzér
704,Fűzy
705,Gacsáry
706,Gadányi
707,Gajzágó
708,Gajári
709,Gajáry
710,Gajárí
711,Galambos
