2815,Wolfner,1
1297,Kovách,13
1848,Pelczer,1
2109,Récsei,1
174,Bernáth,56
2292,Stettler,0
2646,Vajda,169
2630,Unterberg,0
yb19121569,Bunzlau,0
677,Funk,4
1789,Oppenheim,2
1877,Pikler,1
799,Gutfreund,5
1954,Purjesz,1
2087,Roóz,0
2537,Tauszk,0
285,Bródy,8
alm19071160,Gansl,2
1721,Münz,2
1992,Pózner,0
984,Honig,10
2468,Szécsi,25
857,Hajnal,82
1435,Lampl,2
2240,Simonovits,4
yb19121527,Goldfeld,0
2750,Wahrmann,0
765,Goldner,4
171,Bergsmann,5
324,Bárdi,14
2830,Zahler,1
717,Garai,40
yb1912957,Hirschel,0
2790,Wilheim,8
2267,Soó,0
2827,Zacharovits,0
yb1912958,Czukermann,0
442,Czitrom,9
926,Herczeg,209
yb19092435,Grauer,2
674,Fráter,1
yb19092288,Bojnitzer,0
51,Arányi,23
905,Havas,18
804,Gyenes,85
yb1909868,Tuchler,0
2186,Schober,11
2409,Szidon,8
yb19091103,Bergler,1
2218,Seemann,6
yb19091378,Glöckner,4
2020,Raáb,30
yb19097,Faszler,0
693,Förstner,5
alm1904172,Hönigsfeld,0
alm1907632,Lobstein,0
280,Brust,1
yb19092628,Weingarten,6
927,Herczel,0
1290,Korányi,4
yb19121630,Smilovitz,0
2140,Salgó,5
1717,Mühlrad,1
yb19122447,Szanditz,0
266,Braunstein,1
yb1912668,Kleinberger,3
625,Fenyves,15
yb1912470,Kurzmann,1
2258,Sohr,5
yb1912566,Schöpkesz,0
281,Bruszt,2
916,Heisler,11
yb19121986,Blitz,5
yb19091049,Hilf,0
286,Brück,23
yb19121999,Schulmann,1
yb1909180,Füchsl,0
yb19092190,Farbenblum,0
2778,Wenger,1
2070,Ross,1
1561,Major,202
839,Gúth,13
728,Gaál,167
alm19041112,Preszburger,1
yb19121286,Kirnig,0
2501,Sámson,8
574,Engelhardt,92
270,Brett,7
1494,Lissauer,3
yb19091244,Gelb,8
yb19122032,Rosenspitz,0
1610,Max,6
yb1909957,Trebitscher,0
yb1909413,Mailender,0
1187,Keresztes,91
yb1912481,Bászsz,0
2037,Reitzer,4
945,Heuman,0
yb1909257,Rozenberg,12
104,Barna,221
2706,Viola,5
2800,Wippler,0
yb1909966,Grossz,0
2041,Renn,0
2844,Ziffer,1
623,Felter,3
yb19123180,Mantág,0
1759,Noé,4
1,Abelsberg,1
1890,Piszker,7
alm1907877,Hausbrunner,2
1411,Kürschner,0
1543,Löwinger,25
yb19091252,Lövinger,20
yb1909766,Kesztenbaum,1
alm1904922,Rosenstein,1
yb1912698,Grossmann,9
yb19092025,Kohn,255
yb19121621,Eckstein,23
yb19092458,Löwy,38
127,Baumgarten,7
1473,Lichtmann,5
yb19091217,Grünfeld,30
668,Friedmann,76
yb19121441,Reismann,1
1363,Kácz,8
yb19121971,Goldstein,63
2291,Stern,119
yb1909955,Diamant,22
yb1912811,Feuerstein,4
yb19121005,Spitz,20
yb19121515,Rosenzweig,11
yb19092290,Policzer,1
yb1909124,Schlesinger,59
yb19091880,Guttmann,39
alm1907517,Sonnenfeld,8
yb1909205,Herzfeld,2
yb1909662,Singer,56
yb19091229,Spitzer,97
alm1907843,Fried,32
773,Gottlieb,17
2068,Rosenfeld,79
alm19071134,Feuer,13
272,Breuer,39
478,Deutsch,191
1570,Mandel,22
alm1904283,Hartenstein,1
yb19091102,Weiszfeld,0
yb19091197,Grünhut,24
1544,Lőbl,11
yb19121669,Waldner,2
yb19123238,Buchwald,4
764,Goldberger,41
yb1909313,Fischbein,5
yb19091200,Weinberger,49
572,Engel,48
2902,Éliás,31
alm19041056,Hajduska,0
2139,Salamon,67
2810,Wohl,8
yb1912391,Kron,3
yb19121323,Grün,23
yb19091842,Katz,43
yb190918,Schönfeld,47
yb19091465,Goldmann,22
yb1909968,Neufeld,8
2775,Weisz,488
790,Groszmann,21
2198,Schwartz,54
170,Berger,129
2286,Stein,34
2771,Weiner,20
yb19122801,Ungár,26
yb1912326,Oesterreicher,0
1458,Lederer,23
alm1907953,Langfelder,3
2067,Rosenberger,19
yb19121449,Lövenstein,2
yb19121076,Moskovitz,3
yb19092524,Schwarcz,144
1734,Neuhauser,46
2199,Schwarz,77
1223,Klein,413
yb1909506,Hirschl,5
alm1907258,Fleischmann,16
alm1907543,Tausz,4
795,Grünwald,27
alm19041088,Hamburger,10
794,Grósz,138
789,Grosz,138
yb19123265,Steinberger,6
2204,Schön,17
2184,Schneller,14
287,Brüll,17
yb19122337,Pollák,86
958,Hirschler,5
2028,Reiner,40
2293,Stettner,10
1971,Pápa,2
957,Hirsch,35
yb1909118,Veisz,123
yb19121964,Reich,62
yb1912312,Lichtenstein,19
1162,Kaufmann,35
644,Fleischer,20
265,Braun,184
660,Frankl,18
yb19091276,Steiner,193
2158,Scheiber,12
207,Blum,47
1540,Löv,2
2205,Schönberger,7
2075,Roth,146
2127,Róth,146
yb1909965,Gross,14
1546,Lőwenstein,2
1541,Löwenstein,2
yb19121733,Herz,11
alm1907562,Reiser,4
alm1904458,Hecht,18
1735,Neumann,79
514,Drechsler,9
yb19121995,Flesch,10
yb1912357,Salzer,4
yb19091956,Schvarcz,158
yb19121311,Krausz,199
972,Hofmann,7
yb19092282,Horovitz,8
1310,Kreizler,1
2282,Stark,58
