sorszam,n1,FNF
1,Abelsberg,1
2,Abonyi,0
3,Ackerl,1
4,Acél,0
5,Adamek,7
6,Adametz,1
7,Adamy,0
8,Adámi,0
9,Adámy,0
10,Adátny,0
11,Agocs,1
12,Agotay,0
13,Agócs,1
14,Aigner,0
15,Akantisz,0
16,Albrecht,3
17,Alemann,0
18,Alexa,7
19,Ali,0
20,Alkér,0
21,Alm,0
22,Almády,0
23,Almásy,0
24,Alth,0
25,Altorjai,0
26,Ambrosits,0
27,Ambrus,0
28,Ambrózy,0
29,Amigo,0
30,Amigó,0
31,Anderkó,4
32,Andor,1
33,Andrejka,1
34,Andreska,0
35,Andrássy,0
36,Angelus,0
37,Angelusz,0
38,Angyal,7
39,Angyán,1
40,Antal,1
41,Anton,18
42,Apagyi,0
43,Apalitzky,0
44,Apatitzky,0
45,Apostol,0
46,Arany,0
47,Aranyossy,0
48,Arathau,0
49,Argauer,0
50,Armstádt,0
51,Arányi,1
52,Asztalos,1
53,Auer,23
54,Aulinger,0
55,Ausim,0
56,Axmann,3
57,Babocsay,0
58,Babucs,0
59,Bachát,0
60,Badics,3
61,Badál,0
62,Bagi,3
63,Bagossy,0
64,Bai,0
65,Baintner,3
66,Baitner,0
67,Bajczár,1
68,Bajkay,0
69,Bajusz,1
70,Bajáki,0
71,Bajáky,0
72,Bakay,1
73,Bakcsy,0
74,Bakodi,0
75,Bakonyi,3
76,Bakos,2
77,Baksay,0
78,Bakó,8
79,Balay,0
80,Balder,0
81,Balikó,0
82,Balla,3
83,Balló,0
84,Balog,13
85,Balogh,2
86,Baltzer,0
87,Baluka,0
88,Balás,1
89,Balázs,1
90,Balázsovich,0
91,Balázsy,4
92,Baló,0
93,Barabás,0
94,Baracs,0
95,Barakovich,0
96,Barakovics,0
97,Baranyay,0
98,Barbás,0
99,Barcza,1
100,Barczen,0
101,Bari,2
102,Barina,2
103,Barlatits,0
104,Barna,1
105,Barsi,1
106,Barta,0
107,Bartal,0
108,Bartalits,0
109,Bartalos,0
110,Bartek,4
111,Bartos,1
112,Bartsch,11
113,Bartunek,0
114,Bartók,4
115,Barát,5
116,Baráth,4
117,Barócs,0
118,Baróti,0
119,Basch,9
120,Baseli,0
121,Bata,3
122,Batka,0
123,Battlay,0
124,Batyala,0
125,Bauer,128
126,Baumann,31
127,Baumgarten,36
128,Bausz,0
129,Bayer,16
130,Baán,0
131,Becker,23
132,Beckmann,0
133,Becske,0
134,Bede,1
135,Bedő,0
136,Behringer,0
137,Behumi,0
138,Behyna,0
139,Beke,0
140,Bekö,1
141,Bekő,1
142,Belgrádi,0
143,Beliczay,0
144,Bellaágh,0
145,Bellus,0
146,Bencsik,13
147,Bencze,2
148,Bendes,0
149,Bendessy,0
150,Bendesy,0
151,Bene,3
152,Beneda,0
153,Benedek,3
154,Benes,1
155,Benesch,0
156,Benke,3
157,Benkovszky,0
158,Benkó,4
159,Benkő,4
160,Benyovits,5
161,Benyó,3
162,Berczel,0
163,Berecz,0
164,Bereczky,0
165,Bereghy,0
166,Berencsy,0
167,Beretics,6
168,Beretz,0
169,Beretzky,0
170,Berger,657
171,Bergsmann,8
172,Berkes,0
173,Bernauer,0
174,Bernáth,1
175,Berta,1
176,Bertalan,0
177,Beránek,4
178,Berényi,1
179,Betsey,0
180,Beösze,0
181,Beősze,0
182,Bicskey,0
183,Biegelbauer,1
184,Bihary,0
185,Bikich,0
186,Bikics,0
187,Bikits,0
188,Bilkay,0
189,Birkl,0
190,Birkus,0
191,Biró,13
192,Bischof,6
193,Bischoff,5
194,Bisitz,0
195,Biszterszki,4
196,Bitter,14
197,Bittera,0
198,Bittner,5
199,Blaha,0
200,Blahó,1
201,Blary,0
202,Blaschnek,0
203,Blasinger,2
204,Blaskó,9
205,Blasnek,0
206,Blazsek,4
207,Blum,157
208,Blázsek,4
209,Blázy,0
210,Blöch,0
211,Blöckinger,0
212,Boba,2
213,Bobor,0
214,Bocke,0
215,Bocz,0
216,Boda,1
217,Bodnár,4
218,Bodor,0
219,Bodrog,0
220,Bodrogi,0
221,Bodák,0
222,Bodó,1
223,Bogdándy,0
224,Bogisich,0
225,Bognár,0
226,Bogár,0
227,Bogáthy,0
228,Boinitzer,0
229,Bolcsik,1
230,Boldog,0
231,Boleman,0
232,Bolemann,0
233,Bolgár,0
234,Bolla,1
235,Bolvánszky,0
236,Bolváry,0
237,Boné,1
238,Borbás,0
239,Borbély,4
240,Bordás,1
241,Bori,0
242,Boronkai,0
243,Boronkay,0
244,Boros,3
245,Borostyán,0
246,Borovits,0
247,Borsodi,0
248,Borsody,0
249,Borsos,1
250,Borsosföldi,0
251,Borsosföldy,0
252,Borsós,1
253,Borvendég,0
254,Bory,0
255,Borzsák,0
256,Boschán,3
257,Bosnyákovits,0
258,Bossányi,0
259,Bosányi,0
260,Bottyáni,0
261,Bozzay,0
262,Boér,1
263,Bradách,0
264,Brandt,10
265,Braun,742
266,Braunstein,12
267,Breitenbach,6
268,Breitkopf,0
269,Brestyánszky,0
